angle	a_z (g)	err_a_z (g)
0.0	1.0135697021484376	0.00346775188133181
-5.0	1.00578662109375	0.003617062593284979
-10.0	1.0011563720703125	0.006275507934452158
5.0	1.009462158203125	0.0056245408983431585
10.0	0.999177490234375	0.0055687419020040525
15.0	0.98278076171875	0.0054475214239209525
20.0	0.962294189453125	0.005198557426874022
25.0	0.9338262939453125	0.0052685156211783445
30.0	0.9012593994140625	0.004862036658364123
35.0	0.847841796875	0.004794392294297439
40.0	0.807134765625	0.004646259239871095
45.0	0.7583372802734375	0.004499034802915353
50.0	0.7095999755859375	0.004256546726540655
55.0	0.636808837890625	0.0045298833364554566
60.0	0.5531131591796875	0.003632297255780962
65.0	0.4790718994140625	0.0034127391611732906
70.0	0.304844970703125	0.0033198051064950067
75.0	0.2942828369140625	0.003521807373856464
80.0	0.2594498291015625	0.007324038115244864
