angle	a_z (g)	err_a_z (g)
0 	 1.013536865234375 	 0.003763241365651797 
-5 	 1.0060054931640625 	 0.0036708964220727985 
-10 	 1.0002799072265625 	 0.006073352164367494 
5 	 1.0095609130859375 	 0.005788358327635849 
10 	 0.99854296875 	 0.006519361472047672 
15 	 0.9829720458984375 	 0.005523076585203699 
20 	 0.962414306640625 	 0.005274554093438536 
25 	 0.933869384765625 	 0.005215430974579814 
30 	 0.90158447265625 	 0.00490084499838823 
35 	 0.8478831787109375 	 0.004788660002965297 
40 	 0.808291748046875 	 0.004299515561327748 
45 	 0.7583662109375 	 0.003918256815611185 
50 	 0.7099547119140625 	 0.004062588028687642 
55 	 0.6367572021484375 	 0.004327869943133846 
60 	 0.5535238037109375 	 0.0036303614705412925 
65 	 0.48043896484375 	 0.003409873015536822 
70 	 0.421251953125 	 0.003349666281347423 
75 	 0.3161090087890625 	 0.0037307606827514514 
80 	 0.259022705078125 	 0.0035084855468346834 
